Product_ID,Nomi,Kategoriya,Brand,Narx,Sotilgan_Soni,Reyting,Mavjud
46,Product_46,Home,Brand_C,2374743.0,880.0,4.2,Yo'q
47,Product_47,Food,Brand_C,3195564.0,704.0,4.8,Yo'q
48,Product_48,Electronics,Brand_C,673916.0,124.0,,Yo'q
49,Product_49,Books,,3950615.0,79.0,3.4,Yo'q
50,Product_50,Home,Brand_D,2932669.0,130.0,2.7,Yo'q
51,Product_51,Electronics,Brand_B,3708615.0,286.0,3.0,Ha
52,Product_52,Clothing,Brand_A,2786748.0,258.0,4.0,Ha
53,Product_53,Home,Brand_D,536604.0,451.0,4.5,Ha
54,Product_54,Food,Brand_A,1976677.0,589.0,3.2,Ha
55,Product_55,Clothing,Brand_C,1542351.0,40.0,4.5,Ha
56,Product_56,Electronics,Brand_A,619938.0,702.0,1.6,Ha
57,Product_57,Clothing,Brand_E,248702.0,793.0,2.1,Yo'q
58,Product_58,Clothing,Brand_E,4007256.0,357.0,2.6,Yo'q
59,Product_59,Clothing,Brand_D,1336872.0,,4.3,Ha
60,Product_60,Electronics,Brand_A,1669313.0,574.0,3.2,Ha
61,Product_61,Food,Brand_D,1130360.0,896.0,4.3,Ha
62,Product_62,Clothing,Brand_A,2448238.0,440.0,4.5,Yo'q
63,Product_63,Clothing,,3375093.0,365.0,5.0,Ha
64,Product_64,Clothing,Brand_E,1418152.0,756.0,4.5,Yo'q
65,Product_65,Food,Brand_A,4471605.0,816.0,2.3,Ha
66,Product_66,Electronics,Brand_E,4514478.0,437.0,3.9,Yo'q
67,Product_67,Food,Brand_E,1628683.0,986.0,1.2,Ha
68,Product_68,Books,Brand_C,4586470.0,352.0,2.2,Ha
69,Product_69,Home,Brand_B,3133593.0,587.0,2.9,Yo'q
70,Product_70,Books,Brand_B,298819.0,615.0,1.3,Yo'q
71,Product_71,Food,,4476204.0,140.0,3.2,Yo'q
72,Product_72,Clothing,Brand_E,1549778.0,174.0,3.9,Yo'q
73,Product_73,Clothing,Brand_C,120237.0,361.0,2.3,Yo'q
74,Product_74,Clothing,Brand_B,4082343.0,549.0,4.0,Yo'q
75,Product_75,Electronics,Brand_A,3808501.0,893.0,,Ha
76,Product_76,Books,Brand_A,2590089.0,38.0,1.9,Yo'q
77,Product_77,Electronics,Brand_E,793372.0,29.0,3.0,Yo'q
78,Product_78,Books,Brand_A,1977378.0,385.0,3.9,Yo'q
79,Product_79,Electronics,Brand_B,4713546.0,903.0,3.7,Yo'q
80,Product_80,Home,Brand_A,2278995.0,843.0,4.0,Yo'q
81,Product_81,Books,Brand_C,2992547.0,51.0,3.0,Ha
82,Product_82,Electronics,Brand_D,4164976.0,,,Ha
83,Product_83,Books,Brand_A,1426056.0,939.0,4.2,Yo'q
84,Product_84,Clothing,Brand_A,4466626.0,547.0,1.2,Ha
85,Product_85,Clothing,Brand_A,1884202.0,153.0,2.4,Yo'q
86,Product_86,Home,Brand_A,1191329.0,548.0,2.2,Yo'q
87,Product_87,Clothing,Brand_A,3209781.0,170.0,4.0,Yo'q
88,Product_88,Home,Brand_E,4876636.0,980.0,1.1,Ha
89,Product_89,Home,Brand_C,4712354.0,488.0,3.8,Ha
90,Product_90,Home,Brand_C,285827.0,306.0,2.2,Ha
91,Product_91,Food,Brand_D,2753332.0,,4.2,Ha
92,Product_92,Food,Brand_A,3353153.0,846.0,4.8,Ha
93,Product_93,Electronics,Brand_E,3677760.0,258.0,1.4,Yo'q
94,Product_94,Food,Brand_D,3840899.0,891.0,3.5,Yo'q
95,Product_95,Clothing,Brand_B,3164642.0,650.0,1.1,Yo'q
96,Product_96,Food,Brand_A,4041660.0,270.0,2.7,Ha
97,Product_97,Electronics,Brand_B,741113.0,440.0,3.7,Ha
98,Product_98,Food,Brand_A,2672911.0,150.0,4.6,Ha
99,Product_99,Home,Brand_C,3454169.0,548.0,3.3,Ha
100,Product_100,Books,Brand_D,1910785.0,162.0,3.3,Yo'q
101,Product_101,Food,Brand_E,4596271.0,647.0,4.8,Yo'q
102,Product_102,Clothing,Brand_A,3029855.0,984.0,4.7,Ha
103,Product_103,Home,Brand_B,1599417.0,890.0,2.3,Yo'q
104,Product_104,Electronics,Brand_C,4278309.0,646.0,4.9,Yo'q
105,Product_105,Food,Brand_B,309119.0,,2.3,Ha
106,Product_106,Food,Brand_B,522642.0,264.0,3.2,Yo'q
107,Product_107,Books,Brand_C,1273314.0,231.0,1.9,Ha
108,Product_108,Books,Brand_A,744203.0,387.0,,Yo'q
109,Product_109,Electronics,Brand_C,3171250.0,723.0,4.3,Ha
110,Product_110,Electronics,Brand_C,3297211.0,365.0,4.3,Yo'q
111,Product_111,Home,Brand_E,3550994.0,948.0,3.2,Ha
112,Product_112,Books,Brand_C,2150532.0,913.0,,Ha
113,Product_113,Home,Brand_D,755915.0,794.0,3.2,Yo'q
114,Product_114,Electronics,Brand_D,1934134.0,989.0,3.2,Yo'q
115,Product_115,Clothing,Brand_D,3340018.0,327.0,2.3,Yo'q
116,Product_116,Home,Brand_A,1297893.0,323.0,2.4,Ha
117,Product_117,Clothing,Brand_B,3802613.0,518.0,4.8,Ha
118,Product_118,Electronics,Brand_B,1882809.0,300.0,2.5,Ha
119,Product_119,Electronics,Brand_C,,296.0,4.0,Yo'q
120,Product_120,Food,Brand_A,1283321.0,578.0,1.2,Yo'q
121,Product_121,Books,Brand_B,2801866.0,230.0,1.3,Ha
122,Product_122,Home,Brand_A,4936512.0,687.0,,Yo'q
123,Product_123,Books,Brand_E,322846.0,73.0,2.0,Ha
124,Product_124,Home,Brand_E,738326.0,839.0,3.8,Ha
125,Product_125,Electronics,Brand_C,1953832.0,215.0,3.6,Yo'q
126,Product_126,Clothing,Brand_E,2742206.0,809.0,1.2,Yo'q
127,Product_127,Home,Brand_C,2313737.0,98.0,2.1,Yo'q
128,Product_128,Electronics,Brand_C,3158346.0,920.0,3.3,Yo'q
129,Product_129,Food,Brand_D,2195198.0,878.0,2.3,Ha
130,Product_130,Home,Brand_C,428502.0,,2.1,Yo'q
131,Product_131,Books,Brand_C,2312291.0,,3.2,Yo'q
132,Product_132,Books,Brand_E,326090.0,636.0,1.2,Yo'q
133,Product_133,Electronics,Brand_E,1555252.0,481.0,2.3,Yo'q
134,Product_134,Home,Brand_B,1450395.0,975.0,1.9,Yo'q
135,Product_135,Food,Brand_E,4147996.0,669.0,1.3,Yo'q
136,Product_136,Food,Brand_E,4966094.0,730.0,3.1,Ha
137,Product_137,Food,Brand_D,2447081.0,405.0,1.3,Yo'q
138,Product_138,Clothing,Brand_C,137934.0,865.0,1.4,Yo'q
139,Product_139,Books,Brand_E,505553.0,986.0,1.4,Yo'q
140,Product_140,Electronics,Brand_A,2494935.0,651.0,2.7,Yo'q
141,Product_141,Electronics,,3378531.0,21.0,2.7,Ha
142,Product_142,Home,Brand_E,4866519.0,470.0,2.9,Yo'q
143,Product_143,Clothing,Brand_B,2803172.0,89.0,2.7,Yo'q
144,Product_144,Food,Brand_E,1142814.0,250.0,2.9,Ha
145,Product_145,Clothing,Brand_D,1903607.0,646.0,2.5,Ha
146,Product_146,Electronics,Brand_A,4330104.0,,2.0,Ha
147,Product_147,Books,Brand_C,1244579.0,,3.3,Yo'q
148,Product_148,Books,Brand_B,311522.0,301.0,1.8,Yo'q
149,Product_149,Food,Brand_C,2534915.0,704.0,1.7,Ha
150,Product_150,Electronics,Brand_A,655823.0,208.0,1.7,Yo'q
