Customer_ID,Yosh,Jins,Daromad,Xarid_Soni,Jami_Xarajat,Sodiqlik_Darajasi,Ro'yxatdan_o'tgan
43,34.0,Erkak,12313749.0,48.0,6435974.0,Yuqori,2020-02-12
44,20.0,Erkak,21183616.0,,7001476.0,Past,2020-02-13
45,59.0,Ayol,12975981.0,10.0,5707342.0,Yuqori,2020-02-14
46,,Erkak,8070145.0,9.0,4724790.0,Yuqori,2020-02-15
47,37.0,Erkak,48146593.0,17.0,5142870.0,Past,2020-02-16
48,52.0,Ayol,29448150.0,28.0,911401.0,,2020-02-17
49,45.0,Ayol,12128121.0,,7715218.0,Past,2020-02-18
50,64.0,Ayol,,28.0,4315233.0,Yuqori,2020-02-19
51,67.0,Erkak,23093497.0,25.0,9884330.0,Past,2020-02-20
52,48.0,Erkak,14431867.0,41.0,1060077.0,O'rta,2020-02-21
53,66.0,Ayol,8621782.0,35.0,5535302.0,,2020-02-22
54,65.0,Ayol,28877148.0,24.0,4588292.0,Yuqori,2020-02-23
55,57.0,Erkak,33936134.0,11.0,424199.0,Past,2020-02-24
56,63.0,Erkak,,13.0,1908056.0,O'rta,2020-02-25
57,56.0,Ayol,6517763.0,45.0,1906877.0,Past,2020-02-26
58,,Erkak,43174943.0,20.0,5019802.0,O'rta,2020-02-27
59,36.0,Erkak,22891890.0,,8769263.0,Past,2020-02-28
60,18.0,Ayol,,37.0,4027542.0,Yuqori,2020-02-29
61,52.0,Erkak,31398830.0,19.0,6130327.0,Past,2020-03-01
62,28.0,Ayol,16442033.0,42.0,4396011.0,,2020-03-02
63,35.0,Ayol,34007400.0,30.0,2557456.0,Yuqori,2020-03-03
64,26.0,Ayol,23303373.0,12.0,8753918.0,Yuqori,2020-03-04
65,31.0,Ayol,35867596.0,7.0,3793780.0,O'rta,2020-03-05
66,60.0,Erkak,,32.0,4764146.0,Past,2020-03-06
67,48.0,Ayol,,15.0,5139900.0,Past,2020-03-07
68,35.0,Erkak,42151698.0,10.0,9449486.0,,2020-03-08
69,,Ayol,,15.0,8101720.0,Yuqori,2020-03-09
70,,Ayol,27688416.0,23.0,4971560.0,Yuqori,2020-03-10
71,58.0,Ayol,30199487.0,28.0,7627498.0,Past,2020-03-11
72,45.0,Erkak,8809670.0,3.0,9497000.0,Yuqori,2020-03-12
73,45.0,Ayol,35568153.0,48.0,394503.0,Past,2020-03-13
74,37.0,Ayol,,21.0,7731260.0,Past,2020-03-14
75,,Erkak,8706795.0,36.0,3315010.0,,2020-03-15
76,18.0,Ayol,,,8159544.0,Past,2020-03-16
77,31.0,Erkak,2211276.0,8.0,6992386.0,O'rta,2020-03-17
78,30.0,Erkak,20944700.0,,6317303.0,O'rta,2020-03-18
79,60.0,Ayol,36707473.0,2.0,,Yuqori,2020-03-19
80,21.0,Ayol,32291489.0,3.0,4664170.0,O'rta,2020-03-20
81,,Ayol,,21.0,1042458.0,Yuqori,2020-03-21
82,21.0,Erkak,6826078.0,1.0,5964891.0,Past,2020-03-22
83,38.0,Erkak,36783250.0,15.0,6580575.0,O'rta,2020-03-23
84,33.0,Ayol,29099884.0,4.0,5081158.0,Past,2020-03-24
85,28.0,Erkak,6635714.0,9.0,,O'rta,2020-03-25
86,,Erkak,44109604.0,36.0,,O'rta,2020-03-26
87,65.0,Ayol,32602213.0,13.0,8195925.0,Past,2020-03-27
88,21.0,Ayol,11441137.0,32.0,4418965.0,Yuqori,2020-03-28
89,59.0,Ayol,2603655.0,21.0,9140537.0,Past,2020-03-29
90,66.0,Ayol,13047397.0,,8917355.0,Past,2020-03-30
91,61.0,Ayol,28829808.0,41.0,1025796.0,Past,2020-03-31
92,54.0,Erkak,,,8840877.0,O'rta,2020-04-01
93,23.0,Erkak,17531477.0,28.0,4081636.0,Past,2020-04-02
94,,Ayol,22820301.0,12.0,4016586.0,O'rta,2020-04-03
95,56.0,Erkak,2263353.0,,577210.0,Past,2020-04-04
96,40.0,Ayol,22235166.0,,3058562.0,Past,2020-04-05
97,48.0,Erkak,44223964.0,48.0,6174880.0,O'rta,2020-04-06
98,52.0,Erkak,12405216.0,39.0,358807.0,,2020-04-07
99,60.0,Erkak,48279075.0,,6648377.0,O'rta,2020-04-08
100,38.0,Erkak,35682770.0,,6435392.0,,2020-04-09
101,49.0,Erkak,14058135.0,39.0,7611431.0,Yuqori,2020-04-10
102,68.0,Ayol,,36.0,1397673.0,Past,2020-04-11
103,63.0,Ayol,38574563.0,2.0,7853786.0,O'rta,2020-04-12
104,30.0,Ayol,35738503.0,32.0,2641532.0,O'rta,2020-04-13
105,51.0,Erkak,43610573.0,47.0,3401654.0,Yuqori,2020-04-14
106,56.0,Erkak,7975595.0,35.0,8680458.0,O'rta,2020-04-15
107,,Erkak,13643131.0,,7127784.0,Yuqori,2020-04-16
108,40.0,Erkak,43539032.0,14.0,3348404.0,Past,2020-04-17
109,18.0,Ayol,23567957.0,49.0,7524759.0,O'rta,2020-04-18
110,52.0,Erkak,,23.0,9117457.0,O'rta,2020-04-19
111,37.0,Erkak,13523066.0,42.0,140107.0,Yuqori,2020-04-20
112,22.0,Ayol,,40.0,5697748.0,O'rta,2020-04-21
113,68.0,Erkak,9702492.0,24.0,8846193.0,Past,2020-04-22
114,22.0,Ayol,11581974.0,,1778173.0,Yuqori,2020-04-23
115,53.0,Ayol,38812109.0,12.0,2060260.0,Yuqori,2020-04-24
116,41.0,Erkak,17034032.0,,9939394.0,Past,2020-04-25
117,27.0,Ayol,6615257.0,32.0,9949877.0,,2020-04-26
118,66.0,Erkak,5506363.0,39.0,9295156.0,O'rta,2020-04-27
119,66.0,Erkak,,17.0,,O'rta,2020-04-28
120,39.0,Ayol,11830386.0,39.0,4156886.0,,2020-04-29
121,,Erkak,49003077.0,45.0,9754123.0,O'rta,2020-04-30
122,,Ayol,,36.0,1298942.0,Yuqori,2020-05-01
123,55.0,Ayol,,21.0,,Past,2020-05-02
124,56.0,Erkak,27420593.0,,1478479.0,Yuqori,2020-05-03
125,57.0,Erkak,6460558.0,38.0,,Past,2020-05-04
126,61.0,Erkak,43909338.0,18.0,9653917.0,O'rta,2020-05-05
127,,Ayol,40078465.0,4.0,8434608.0,,2020-05-06
128,69.0,Ayol,18260743.0,1.0,6577627.0,,2020-05-07
129,48.0,Erkak,27378936.0,,4476160.0,Past,2020-05-08
130,20.0,Ayol,,1.0,3629999.0,Past,2020-05-09
131,69.0,Ayol,48520761.0,41.0,2171865.0,,2020-05-10
132,42.0,Erkak,19129977.0,17.0,2658311.0,Yuqori,2020-05-11
133,35.0,Ayol,40056730.0,8.0,8445306.0,Yuqori,2020-05-12
134,,Erkak,39792144.0,25.0,4423583.0,O'rta,2020-05-13
135,55.0,Ayol,31336115.0,,5125844.0,Past,2020-05-14
136,43.0,Erkak,30515082.0,26.0,6324459.0,O'rta,2020-05-15
137,63.0,Erkak,47133252.0,,,Past,2020-05-16
138,53.0,Ayol,32303727.0,3.0,,O'rta,2020-05-17
139,34.0,Ayol,2996194.0,17.0,1952697.0,Past,2020-05-18
140,30.0,Erkak,19171258.0,23.0,9389761.0,Past,2020-05-19
141,40.0,Ayol,46342185.0,28.0,4718996.0,O'rta,2020-05-20
142,36.0,Erkak,28066950.0,5.0,2993533.0,,2020-05-21
143,63.0,Ayol,47932581.0,34.0,,Yuqori,2020-05-22
144,62.0,Ayol,,32.0,3384692.0,,2020-05-23
145,21.0,Erkak,33187664.0,,1005890.0,Past,2020-05-24
146,46.0,Ayol,41816652.0,6.0,8804694.0,Past,2020-05-25
147,49.0,Erkak,3912105.0,37.0,9892153.0,O'rta,2020-05-26
148,38.0,Erkak,34920059.0,,2900919.0,Past,2020-05-27
149,,Erkak,4684355.0,28.0,2585427.0,Yuqori,2020-05-28
150,26.0,Ayol,23495712.0,37.0,2354533.0,Yuqori,2020-05-29
151,43.0,Ayol,,3.0,2851358.0,Yuqori,2020-05-30
152,26.0,Ayol,29610936.0,15.0,3655428.0,Yuqori,2020-05-31
153,48.0,Ayol,,8.0,3876369.0,Past,2020-06-01
154,30.0,Erkak,39096833.0,,8009050.0,Past,2020-06-02
155,36.0,Ayol,25917745.0,42.0,4671025.0,Yuqori,2020-06-03
156,47.0,Erkak,13998685.0,48.0,9270579.0,Past,2020-06-04
157,46.0,Ayol,20783835.0,4.0,9208698.0,,2020-06-05
158,62.0,Erkak,4635975.0,27.0,8018202.0,O'rta,2020-06-06
159,18.0,Erkak,44964845.0,,,,2020-06-07
160,27.0,Erkak,14439852.0,23.0,,Yuqori,2020-06-08
161,,Ayol,45391995.0,,2846830.0,,2020-06-09
162,46.0,Ayol,27712056.0,29.0,8359657.0,Yuqori,2020-06-10
163,20.0,Ayol,15107982.0,,6410781.0,Yuqori,2020-06-11
164,34.0,Ayol,15989893.0,,2614767.0,,2020-06-12
165,23.0,Ayol,9734368.0,30.0,4200156.0,Past,2020-06-13
166,69.0,Erkak,45803359.0,,1090747.0,Yuqori,2020-06-14
167,44.0,Ayol,24203320.0,39.0,9948616.0,Past,2020-06-15
168,52.0,Erkak,10032737.0,26.0,4985390.0,,2020-06-16
169,,Erkak,45328270.0,36.0,2033736.0,Past,2020-06-17
170,,Erkak,24474154.0,2.0,1006944.0,,2020-06-18
171,32.0,Ayol,46696821.0,19.0,3492805.0,Past,2020-06-19
172,31.0,Erkak,20606193.0,27.0,5662547.0,O'rta,2020-06-20
173,38.0,Ayol,24756695.0,45.0,7450000.0,Past,2020-06-21
174,19.0,Erkak,18863005.0,44.0,8544523.0,Past,2020-06-22
175,32.0,Ayol,44119090.0,8.0,7621540.0,Yuqori,2020-06-23
176,69.0,Ayol,,47.0,9660960.0,Yuqori,2020-06-24
177,51.0,Ayol,37607278.0,32.0,3681224.0,Past,2020-06-25
178,38.0,Ayol,5855813.0,,7907951.0,O'rta,2020-06-26
179,58.0,Ayol,40238215.0,23.0,,,2020-06-27
180,42.0,Erkak,20218500.0,36.0,7165510.0,O'rta,2020-06-28
181,,Ayol,35143255.0,21.0,3920402.0,Past,2020-06-29
182,46.0,Erkak,,43.0,3796807.0,Yuqori,2020-06-30
183,36.0,Ayol,3610834.0,,8070475.0,Past,2020-07-01
184,36.0,Erkak,40497460.0,3.0,753531.0,Yuqori,2020-07-02
185,25.0,Ayol,25702351.0,45.0,1630785.0,Past,2020-07-03
186,48.0,Ayol,17314299.0,24.0,7381986.0,Yuqori,2020-07-04
187,20.0,Erkak,,22.0,7577091.0,Past,2020-07-05
188,67.0,Erkak,29558411.0,33.0,2904044.0,O'rta,2020-07-06
189,20.0,Erkak,44272051.0,17.0,1111051.0,Yuqori,2020-07-07
190,41.0,Erkak,48161050.0,1.0,1761942.0,Yuqori,2020-07-08
191,35.0,Ayol,46677235.0,15.0,559412.0,O'rta,2020-07-09
192,,Ayol,,18.0,8835078.0,Yuqori,2020-07-10
193,44.0,Erkak,5627253.0,44.0,8469516.0,O'rta,2020-07-11
194,47.0,Erkak,32293744.0,18.0,3880245.0,O'rta,2020-07-12
195,50.0,Erkak,,5.0,3484796.0,O'rta,2020-07-13
196,28.0,Ayol,46600707.0,32.0,2782042.0,Yuqori,2020-07-14
197,48.0,Erkak,26747941.0,26.0,,Past,2020-07-15
198,21.0,Ayol,34649513.0,17.0,2266219.0,Yuqori,2020-07-16
199,,Ayol,9975989.0,40.0,5695067.0,Past,2020-07-17
200,55.0,Ayol,30099078.0,2.0,1955550.0,O'rta,2020-07-18
